,STATE,STCOFIPS,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXP_A,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_N,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,HRCN_RISK_CATEGORY_QUANTILE,ZIP,3ZIP
218,Florida,12101,46.0,0.26515671317,772.855554198,89794612933.3,561527.289799,6513716561670.0,74531727.5021,6603585706330.0,0.00979943,9.48e-06,0.016903177,Relatively High,226407343.691,1.36913698407,15881989.0153,327850.410375,242617183.116,99.3947254648,Very High,0.00252118912934,2.438069584e-06,0.00439879532294,93.2555123217,308224510.887,99.5962314939,Very High,Very High,33556,335
219,Florida,12103,39.0,0.334094143051,302.222459105,145291433760.0,958755.5059,11121563868400.0,2218355.0,11266857520600.0,0.007857425,9.48e-06,0.014778741,Relatively High,262541898.797,2.08904278963,24232896.3597,8227.83668318,286783022.994,99.654128837,Very High,0.00180691911722,2.178759759e-06,0.00370898106172,90.4453091224,360889681.855,99.6859578286,Very High,Very High,33767,337
220,Florida,12105,56.0,0.246856869347,2030.70801999,100741765844.0,721895.442235,8373987129930.0,341421565.34,8475070317340.0,0.004457262,1.99e-06,0.041637745,Relatively High,112405226.365,0.359587445861,4171214.37199,3507879.9653,120084320.702,98.3138780804,Relatively High,0.00111574515109,4.98100125e-07,0.0102728285907,87.3324686554,162445012.972,98.6541049798,Relatively High,Very High,33811,338
221,Florida,12107,41.0,0.254261381228,835.26898455,11258263102.6,73206.7850401,849198706465.0,52834957.0,860509804524.0,0.007082177,2.05e-06,0.062936589,Relatively High,20940704.5442,0.0389929578376,452318.310916,895287.164806,22288310.0199,92.0449632512,Relatively Moderate,0.00186001536366,5.3263247e-07,0.0169449776368,90.3156074362,35350153.3621,94.5266935846,Relatively Moderate,Very High,32043,320
222,Florida,12109,46.0,0.294504044039,628.969976805,51350642826.2,273173.591749,3168813664290.0,70401531.4137,3220234708640.0,0.003937527,2.3e-06,0.016903177,Relatively High,57707938.1935,0.179122488103,2077820.862,333839.98354,60119599.0391,96.6277561608,Relatively High,0.00112379717972,6.55706006e-07,0.00474194202962,87.2892347601,55718950.8744,96.0071781068,Relatively High,Very High,32224,322
223,Florida,12111,52.0,0.333546270739,596.568222658,44309660560.5,328868.638055,3814876201440.0,159239486.417,3859345101480.0,0.012215502,9.48e-06,0.046023685,Very High,173966588.901,1.0020623459,11623923.2125,2333480.00538,187923992.119,99.0920881971,Relatively High,0.00392607936475,3.046930594e-06,0.0145698451919,95.2875054042,233376262.151,99.1475998205,Very High,Very High,34949,349
224,Florida,12113,47.0,0.279291597527,1036.0715625,25410040790.2,187713.825525,2177480376090.0,44193445.8157,2202934610330.0,0.012215502,9.48e-06,0.046023685,Relatively High,76448643.6646,0.438544580306,5087117.13155,510694.859621,82046455.6558,97.1897968007,Relatively High,0.00300859753386,2.336238002e-06,0.0115552126406,94.2066580199,90663959.4969,97.3082099596,Relatively High,Very High,32563,325
225,Florida,12115,40.0,0.238787734007,594.840977784,80627910563.3,433853.161838,5032696677320.0,26482619.0,5113351070500.0,0.012215502,9.48e-06,0.046023685,Very High,227812572.194,0.948608438375,11003857.8851,272307.908126,239088737.987,99.308257674,Very High,0.00282498403908,2.186197162e-06,0.0102825142833,93.7310851708,253701570.807,99.3270524899,Very High,Very High,34292,342
226,Florida,12117,32.0,0.243718434316,348.8253912,72536922213.1,470561.93045,5458518393220.0,24483948.0,5531079799380.0,0.003634518,2.04e-06,0.015537622,Relatively Moderate,63946826.8809,0.232631503478,2698525.44035,93109.7959759,66738462.1173,96.8439256377,Relatively High,0.000881548201417,4.94344293e-07,0.00380289142813,85.3437094682,72415426.1756,96.8595782862,Relatively High,Very High,32792,327
227,Florida,12119,45.0,0.254469744155,585.6790446,20819859830.5,129686.297718,1504361053530.0,62479787.9514,1525243393150.0,0.005492247,1.95e-06,0.04052107,Relatively High,28866022.2744,0.0639154432265,741419.141427,642740.109685,30250181.5255,94.4228274968,Relatively Moderate,0.00138634834447,4.92802073e-07,0.010287168543,88.4565499351,29504601.8791,93.7191565725,Relatively Moderate,Very High,33597,335
228,Florida,12121,34.0,0.20797794409,699.24483759,6017094840.0,43427.0,503753200000.0,296998501.0,510067293341.0,0.008296309,1.87e-06,0.038782611,Relatively High,10890098.448,0.0175229688889,203266.439111,2341121.1722,13434486.0593,88.1971465629,Relatively Moderate,0.00180985986386,4.03504016e-07,0.00788260265395,89.9265023779,18769074.9248,90.8030506954,Relatively Moderate,Very High,32096,320
229,Florida,12123,47.0,0.255682097071,1061.12496826,3630805713.0,21690.0,251604000000.0,13519640.0,255248325353.0,0.009546776,2.3e-06,0.044816334,Relatively High,8600837.31461,0.0123356579441,143093.632152,148787.435083,8892718.38185,85.084306096,Relatively Moderate,0.00236885088172,5.68725585e-07,0.0110052808421,92.2611327281,11595483.1826,88.2009869897,Relatively Moderate,Very High,32348,323
230,Florida,12125,22.0,0.204952003665,252.27304596,1669580921.0,16088.0,186620800000.0,8834650.0,188299215571.0,0.007649583,1.65e-06,0.035661243,Relatively High,2616218.0593,0.00545634439905,63293.5950289,64555.6715796,2744067.32591,75.14051016,Relatively Low,0.00156699086962,3.39156166e-07,0.00730710006391,88.7159533074,3497801.71888,78.4208165096,Relatively Low,Relatively High,32058,320
231,Florida,12127,55.0,0.270130574384,1237.22091797,82468648202.9,551815.492732,6401059715690.0,225255600.0,6483753619490.0,0.004915508,2.3e-06,0.046023685,Relatively High,106439005.154,0.330783211107,3837085.24884,2725349.69384,113001440.097,98.1409424989,Relatively High,0.00129063571011,5.99430641e-07,0.0120989209318,88.1971465629,135177523.044,98.2054733064,Relatively High,Very High,32136,321
232,Florida,12129,42.0,0.272033744353,624.496116945,4061992823.0,33756.0,391569600000.0,2740119.0,395634332942.0,0.004915508,2.3e-06,0.046023685,Relatively Moderate,5216883.91573,0.0202213578276,234567.750801,33071.0937435,5484522.76027,81.7120622568,Relatively Low,0.00128431637944,5.99044846e-07,0.0120692180681,87.9377431907,5525302.49964,83.0417227456,Relatively Low,Very High,32355,323
233,Florida,12131,48.0,0.252146989747,1139.21408936,19207317396.6,75211.0,872447600000.0,35111289.0,891690028686.0,0.015218106,9.48e-06,0.04539033,Very High,77314664.3265,0.182536177932,2117419.66401,362426.288371,79794510.2789,97.1465629053,Relatively High,0.00402527129775,2.42698778e-06,0.0103222154097,95.1145698227,81703118.9634,97.1287572903,Relatively High,Very High,32539,325
234,Florida,12133,38.0,0.23060350251,622.1725185,3660355553.0,25288.0,293340800000.0,10265580.0,297011421133.0,0.022714963,8.97e-06,0.043138403,Very High,18525740.8694,0.0512219479939,594174.59673,96877.8503722,19216793.3165,90.9208819715,Relatively Moderate,0.00506118616106,2.025543657e-06,0.00943715312454,98.616515348,28041032.4949,93.3602512337,Relatively Moderate,Very High,32466,324
235,Georgia,13001,41.0,0.260295484993,517.43300193,3160850333.0,18314.0,212442400000.0,191046842.0,215794297175.0,0.00751928,1.61e-06,0.03503244,Relatively High,6193874.39932,0.00767106130696,88984.3111607,1738168.79598,8021027.50646,84.1331603978,Relatively Moderate,0.00195955953202,4.18863236e-07,0.00909812890801,90.9208819715,10952015.1853,87.7074921489,Relatively Moderate,Very High,31563,315
236,Georgia,13003,38.0,0.279536134192,348.01199589,1546486629.0,8264.0,95862400000.0,81522608.0,97490409237.0,0.00318024,7.55e-07,0.031443089,Relatively High,1369208.08352,0.00173881499869,20170.2539848,715961.599458,2105339.93697,73.2382187635,Relatively Low,0.000885366907057,2.10408398e-07,0.00878236868303,87.980977086,3502858.03677,78.5105428443,Relatively Low,Relatively High,31642,316
237,Georgia,13005,34.0,0.263558886962,288.70784631,2434591152.0,11116.0,128945600000.0,72462872.0,131452654024.0,0.003414465,8.39e-07,0.033840306,Relatively High,2149647.15211,0.00242992847455,28187.1703048,653194.906475,2831029.22889,75.6160830091,Relatively Low,0.000882960225309,2.1859738e-07,0.00901420118257,87.2027669693,4344135.51468,80.5742485419,Relatively Low,Relatively High,31539,315
238,Georgia,13007,27.0,0.200710159813,352.66297326,435981944.0,2855.0,33118000000.0,65333131.963,33619315076.0,0.002044413,8.26e-07,0.031939149,Relatively High,178187.617464,0.000473088427244,5487.82575603,420812.601131,604488.044352,62.1703415478,Very Low,0.000408704121619,1.65705228e-07,0.00644102904987,86.1651534803,829109.837501,65.5002243158,Relatively Low,Relatively High,39841,398
239,Georgia,13009,7.0,0.0516901798983,270.98418633,9688547261.0,43775.0,507790000000.0,1629211.0,517480176472.0,0.001811493,4.63e-07,0.033922814,Relatively Moderate,852558.160907,0.000988635075624,11468.1668772,2777.11637574,866803.44416,65.7155209684,Relatively Low,8.7996490902e-05,2.2584468e-08,0.00170457747691,63.5105923044,1128259.18803,68.8649618663,Relatively Low,Relatively High,31034,310
240,Georgia,13011,3.0,0.0284403036665,236.77285476,3412447446.0,18018.0,209008800000.0,194466339.0,212615713785.0,0.001687003,2.95e-07,0.016228978,Relatively Moderate,170852.20575,0.000159317308866,1848.08078284,93856.1659155,266556.452448,53.0479896239,Very Low,5.0067351499e-05,8.842119e-09,0.000482634508358,58.7548638132,328914.755011,55.091969493,Very Low,Relatively Moderate,30521,305
241,Georgia,13013,5.0,0.0316639664374,164.57707539,11814898069.0,81857.764231,949550065079.0,38638291.1978,961403601439.0,0.000701513,1.52e-07,0.006091268,Relatively Low,231215.92515,0.000355306047883,4121.55015544,7999.92597188,243337.401277,52.140077821,Very Low,1.9293085871e-05,4.265993e-09,0.000193957935514,46.7790747946,296748.179155,53.8358008075,Very Low,Relatively Moderate,30517,305
242,Georgia,13015,4.0,0.0292209691788,474.21624354,20314307333.2,108725.997544,1261221571510.0,81899427.6336,1281617778270.0,0.000520279,9.79e-08,0.004436868,Relatively Low,308839.566026,0.000311036041774,3608.01808458,10618.2266328,323065.810744,55.5555555556,Very Low,1.52030566e-05,2.860733e-09,0.000129601548711,43.4500648508,381892.790718,56.8864961866,Very Low,Relatively Moderate,30145,301
243,Georgia,13017,29.0,0.187014169336,256.47043383,3331012100.77,17136.9961144,198789154927.0,23960071.0,202144127099.0,0.002190438,6.14e-07,0.041233093,Relatively Moderate,1364525.83419,0.00196778504854,22826.3065631,184760.26117,1572112.40192,71.1629917856,Relatively Low,0.0004096429943,1.14826694e-07,0.00771117335879,81.3661910938,2138907.16324,74.4279946164,Relatively Low,Relatively High,31783,317
244,Georgia,13019,40.0,0.265319655951,462.50516949,3510340737.09,18158.797649,210642052728.0,98035023.0,214250428488.0,0.003086451,7.22e-07,0.030483374,Relatively High,2872080.27207,0.00345425208768,40069.3242171,790023.262276,3702172.85856,78.1668828361,Relatively Low,0.000818131953169,1.90212119e-07,0.00805858190369,85.9922178988,4900744.71929,81.8752803948,Relatively Low,Very High,31645,316
245,Georgia,13021,10.0,0.0870163161665,257.4792909,31028335117.9,157270.212153,1824334460970.0,5558462.0,1855368354550.0,0.001344164,4.44e-07,0.02065533,Relatively Moderate,3654086.67801,0.00611709460027,70958.2973632,9857.91979227,3734902.89517,78.383052313,Relatively Low,0.000117762720399,3.8893023e-08,0.00177349773953,67.2287073065,4943644.15383,82.0547330642,Relatively Low,Very High,31202,312
246,Georgia,13023,11.0,0.133252652929,221.34354255,2248873984.75,12536.9996384,145429195805.0,14224711.0,147692294501.0,0.002435462,5.08e-07,0.02383087,Relatively Moderate,807113.806469,0.000937607602594,10876.2481901,45672.899553,863662.954212,65.6722870731,Relatively Low,0.000358895686108,7.4787238e-08,0.00321081388247,79.3341980112,1063426.73606,68.2817406909,Relatively Low,Relatively High,31023,310
247,Georgia,13025,44.0,0.321296056691,451.72289019,2506510997.0,17976.0,208521600000.0,27295877.0,211055406874.0,0.005540973,1.98e-06,0.040890519,Relatively High,4495439.86884,0.0115385607077,133847.304209,348820.658135,4978107.83119,80.8906182447,Relatively Low,0.00179350494541,6.41887e-07,0.0127792434782,90.2723735409,6079840.30799,83.5800807537,Relatively Low,Very High,31543,315
248,Georgia,13027,37.0,0.240501754868,502.82584404,3108946119.22,16296.222141,189036176836.0,136357919.0,192281480874.0,0.002349951,1.02e-06,0.03687093,Relatively High,1774260.76163,0.0040335990331,46789.7487839,1209030.47103,3030080.98144,76.4375270212,Relatively Low,0.00057067447467,2.47505617e-07,0.00886659520691,86.6407263294,4270910.66335,80.3947958726,Relatively Low,Relatively High,31788,317
